EpochTime,3.feed_23.PM10_UG_M3
1477891800,7
1477895400,8
1477899000,5
1477902600,3
1477906200,5
1477909800,7
1477913400,7
1477917000,12
1477920600,11
1477924200,8
1477927800,5
1477931400,2
1477935000,4
1477938600,7
1477942200,6
1477945800,10
1477949400,6
1477953000,7
1477956600,8
1477960200,14
1477963800,11
1477967400,13
1477971000,12
1477974600,15
1477978200,12
1477981800,13
1477985400,12
1477989000,11
1477992600,12
1477996200,14
1477999800,20
1478003400,29
1478007000,30
1478010600,38
1478014200,39
1478017800,51
1478021400,57
1478025000,45
1478028600,36
1478032200,35
1478035800,30
1478039400,26
1478043000,27
1478046600,24
1478050200,32
1478053800,41
1478057400,32
1478061000,33
1478064600,30
1478068200,29
1478071800,30
1478075400,33
1478079000,51
1478082600,117
1478086200,84
1478089800,79
1478093400,104
1478097000,52
1478100600,31
1478104200,28
1478107800,26
1478111400,31
1478115000,27
1478118600,31
1478122200,27
1478125800,22
1478129400,27
1478133000,22
1478136600,24
1478140200,31
1478143800,37
1478147400,31
1478151000,22
1478154600,19
1478158200,18
1478161800,21
1478165400,20
1478169000,20
1478172600,23
1478176200,17
1478187000,16
1478190600,11
1478194200,8
1478197800,1
1478201400,0
1478205000,4
1478208600,3
1478212200,6
1478215800,9
1478219400,10
1478223000,7
1478226600,9
1478230200,10
1478233800,6
1478237400,5
1478241000,6
1478244600,5
1478248200,6
1478251800,6
1478255400,8
1478259000,11
1478262600,18
1478266200,10
1478269800,4
1478273400,6
1478277000,4
1478280600,2
1478284200,6
1478287800,5
1478291400,7
1478295000,6
1478298600,9
1478302200,13
1478305800,16
1478309400,18
1478313000,20
1478316600,21
1478320200,19
1478323800,17
1478327400,18
1478331000,17
1478334600,15
1478338200,15
1478341800,17
1478345400,18
1478349000,21
1478352600,19
1478356200,16
1478359800,10
1478363400,2
1478367000,2
1478370600,3
1478374200,7
1478377800,6
1478381400,7
1478385000,10
1478388600,8
1478392200,11
1478395800,13
1478399400,14
1478403000,17
1478406600,16
1478410200,14
1478413800,15
1478417400,14
1478421000,14
1478424600,18
1478428200,19
1478431800,20
1478435400,36
1478439000,33
1478442600,40
1478446200,24
1478449800,21
1478453400,13
1478457000,8
1478460600,7
1478464200,11
1478467800,10
1478471400,16
1478475000,47
1478478600,20
1478482200,24
1478485800,24
1478489400,22
1478493000,19
1478496600,16
1478500200,15
1478503800,15
1478507400,17
1478511000,18
1478514600,18
1478518200,21
1478521800,28
1478525400,34
1478529000,40
1478532600,45
1478536200,51
1478539800,37
1478543400,42
1478547000,75
1478550600,48
1478554200,149
1478557800,83
1478561400,29
1478565000,29
1478568600,22
1478572200,20
1478575800,19
1478579400,19
1478583000,19
1478586600,16
1478590200,18
1478593800,18
1478597400,19
1478601000,20
1478604600,28
1478608200,47
1478611800,45
1478615400,51
1478619000,66
1478622600,49
1478626200,42
1478629800,33
1478633400,39
1478637000,40
1478640600,61
1478644200,65
1478647800,45
1478651400,37
1478655000,42
1478658600,42
1478662200,40
1478665800,35
1478669400,26
1478673000,17
1478676600,16
1478680200,12
1478683800,6
1478687400,7
1478691000,6
1478694600,4
1478698200,7
1478701800,11
1478705400,13
1478709000,6
1478712600,5
1478716200,5
1478719800,4
1478723400,4
1478727000,5
1478730600,1
1478734200,5
1478737800,3
1478741400,5
1478745000,8
1478748600,7
1478752200,8
1478755800,6
1478759400,6
1478763000,6
1478766600,5
1478770200,6
1478773800,8
1478777400,9
1478781000,11
1478784600,12
1478788200,10
1478791800,11
1478795400,4
1478799000,9
1478802600,8
1478806200,10
1478809800,15
1478813400,18
1478817000,25
1478820600,15
1478824200,12
1478827800,11
1478831400,9
1478835000,9
1478838600,8
1478842200,7
1478845800,7
1478849400,8
1478853000,9
1478856600,10
1478860200,10
1478863800,12
1478867400,12
1478871000,17
1478874600,15
1478878200,10
1478881800,5
1478885400,9
1478889000,9
1478892600,9
1478896200,4
1478899800,6
1478903400,6
1478907000,8
1478910600,21
1478914200,19
1478917800,10
1478921400,8
1478925000,9
1478928600,9
1478932200,8
1478935800,8
1478939400,7
1478943000,7
1478946600,13
1478950200,61
1478953800,38
1478957400,16
1478961000,9
1478964600,4
1478968200,5
1478971800,3
1478975400,4
1478979000,5
1478982600,6
1478986200,8
1478989800,16
1478993400,16
1478997000,16
1479000600,21
1479004200,25
1479007800,25
1479011400,24
1479015000,22
1479018600,21
1479022200,18
1479025800,20
1479029400,17
1479033000,16
1479036600,23
1479040200,19
1479043800,15
1479047400,12
1479051000,7
1479054600,8
1479058200,1
1479061800,3
1479065400,4
1479069000,6
1479072600,8
1479076200,10
1479079800,17
1479083400,24
1479087000,173
1479090600,86
1479094200,71
1479097800,28
1479101400,27
1479105000,22
1479108600,28
1479112200,28
1479115800,26
1479119400,28
1479123000,34
1479126600,67
1479130200,74
1479133800,78
1479137400,40
1479141000,19
1479144600,11
1479148200,15
1479151800,64
1479155400,72
1479159000,33
1479162600,37
1479166200,32
1479169800,30
1479173400,33
1479177000,35
1479180600,28
1479184200,36
1479187800,25
1479191400,25
1479195000,25
1479198600,24
1479202200,27
1479205800,27
1479209400,32
1479213000,44
1479216600,44
1479220200,54
1479223800,71
1479227400,68
1479231000,41
1479234600,18
1479238200,13
1479241800,14
1479245400,20
1479249000,25
1479252600,42
1479256200,40
1479259800,41
1479263400,41
1479267000,34
1479270600,33
1479274200,34
1479277800,35
1479281400,36
1479285000,36
1479288600,37
1479292200,38
1479295800,44
1479299400,65
1479303000,44
1479306600,35
1479310200,33
1479313800,25
1479317400,27
1479321000,25
1479324600,20
1479328200,24
1479331800,24
1479335400,27
1479339000,20
1479342600,22
1479346200,21
1479349800,19
1479353400,22
1479357000,25
1479360600,26
1479364200,23
1479367800,23
1479371400,22
1479375000,19
1479378600,20
1479382200,19
1479385800,31
1479389400,38
1479393000,45
1479396600,53
1479400200,46
1479403800,43
1479407400,27
1479411000,32
1479414600,26
1479418200,24
1479421800,32
1479425400,28
1479429000,27
1479432600,33
1479436200,31
1479439800,31
1479443400,33
1479447000,29
1479450600,26
1479454200,25
1479457800,25
1479461400,31
1479465000,30
1479468600,32
1479472200,53
1479475800,45
1479479400,56
1479483000,70
1479486600,54
1479490200,44
1479493800,21
1479497400,20
1479501000,29
1479504600,23
1479508200,25
1479511800,27
1479515400,22
1479519000,23
1479522600,35
1479526200,43
1479529800,40
1479533400,38
1479537000,38
1479540600,31
1479544200,14
1479547800,10
1479551400,12
1479555000,15
1479558600,20
1479562200,25
1479565800,55
1479569400,1
1479573000,-2
1479576600,-2
1479580200,-5
1479583800,-1
1479587400,-1
1479591000,2
1479594600,5
1479598200,0
1479601800,1
1479605400,4
1479609000,0
1479612600,3
1479616200,8
